productId,imei_no
PR15540,HB35098
PR15540,HB35099
PR15540,HB35100
PR15540,HB35101
PR15540,HB35102
PR15540,HB35103
PR15540,HB35104
PR15540,HB35105
PR15540,HB35106
PR15540,HB35107
PR15540,HB35108
PR15540,HB35109
PR15540,HB35110
PR15540,HB35111
PR15540,HB35112
PR15540,HB35113
PR15540,HB35114
PR15540,HB35115
PR15540,HB35116
PR15540,HB35117
PR15540,HB35118
PR15540,HB35119
PR15540,HB35120
PR15540,HB35121
PR15540,HB35122
PR15540,HB35123
PR15540,HB35124
PR15540,HB35125
PR15540,HB35126
PR15540,HB35127
PR15540,HB35128
PR15540,HB35129
PR15540,HB35130
PR15540,HB35131
PR15540,HB35132
PR15540,HB35133
PR15540,HB35134
PR15540,HB35135
PR15540,HB35136
PR15540,HB35137
PR15540,HB35138
PR15540,HB35139
PR15540,HB35140
PR15540,HB35141
PR15540,HB35142
PR15540,HB35143
PR15540,HB35144
PR15540,HB35145
PR15540,HB35146
PR15540,HB35147
PR15540,HB35148
PR15540,HB35149
PR15540,HB35150
PR15540,HB35151
PR15540,HB35152
PR15540,HB35153
PR15540,HB35154
PR15540,HB35155
PR15540,HB35156
PR15540,HB35157
PR15540,HB35158
PR15540,HB35159
PR15540,HB35160
PR15540,HB35161
PR15540,HB35162
PR15540,HB35163
PR15540,HB35164
PR15540,HB35165
PR15540,HB35166
PR15540,HB35167
PR15540,HB35168
PR15540,HB35169
PR15540,HB35170
PR15540,HB35171
PR15540,HB35172
PR15540,HB35173
PR15540,HB35174
PR15540,HB35175
PR15540,HB35176
PR15540,HB35177
PR15540,HB35178
PR15540,HB35179
PR15540,HB35180
PR15540,HB35181
PR15540,HB35182
PR15540,HB35183
PR15540,HB35184
PR15540,HB35185
PR15540,HB35186
PR15540,HB35187
PR15540,HB35188
PR15540,HB35189
PR15540,HB35190
PR15540,HB35191
PR15540,HB35192
PR15540,HB35193
PR15540,HB35194
PR15540,HB35195
PR15540,HB35196
PR15540,HB35197
PR15540,HB35198
PR15540,HB35199
PR15540,HB35200
PR15540,HB35201
PR15540,HB35202
PR15540,HB35203
PR15540,HB35204
PR15540,HB35205
PR15540,HB35206
PR15540,HB35207
PR15540,HB35208
PR15540,HB35209
PR15540,HB35210
PR15540,HB35211
PR15540,HB35212
PR15540,HB35213
PR15540,HB35214
PR15540,HB35215
PR15540,HB35216
PR15540,HB35217
PR15540,HB35218
PR15540,HB35219
PR15540,HB35220
PR15540,HB35221
PR15540,HB35222
PR15540,HB35223
PR15540,HB35224
PR15540,HB35225
PR15540,HB35226
PR15540,HB35227
PR15540,HB35228
PR15540,HB35229
PR15540,HB35230
PR15540,HB35231
PR15540,HB35232
PR15540,HB35233
PR15540,HB35234
PR15540,HB35235
PR15540,HB35236
PR15540,HB35237
PR15540,HB35238
PR15540,HB35239
